Date,safety_index
2023-12-22,71.0
2023-12-23,79.0
2023-12-24,84.0
2023-12-25,92.0
2023-12-26,62.0
2023-12-27,72.0
2023-12-28,63.0
2023-12-29,82.0
2023-12-30,72.0
2023-12-31,76.0
2024-01-01,66.0
2024-01-02,70.0
2024-01-03,62.0
2024-01-04,57.0
2024-01-05,56.0
2024-01-06,93.0
2024-01-07,35.0
2024-01-08,66.0
2024-01-09,74.0
2024-01-10,55.0
2024-01-11,62.0
2024-01-12,64.0
2024-01-13,71.0
2024-01-14,81.0
2024-01-15,75.0
2024-01-16,72.0
2024-01-17,71.0
2024-01-18,73.0
2024-01-19,84.0
2024-01-20,80.0
2024-01-21,70.0
2024-01-22,78.0
2024-01-23,59.0
2024-01-24,41.0
2024-01-25,66.0
2024-01-26,74.0
2024-01-27,82.0
2024-01-28,56.0
2024-01-29,77.0
2024-01-30,55.0
2024-01-31,62.0
2024-02-01,44.0
2024-02-02,85.0
2024-02-03,63.0
2024-02-04,57.0
2024-02-05,63.0
2024-02-06,54.0
2024-02-07,52.0
2024-02-08,61.0
2024-02-09,52.0
2024-02-10,63.0
2024-02-11,82.0
2024-02-12,84.0
2024-02-13,77.0
2024-02-14,67.0
2024-02-15,42.0
2024-02-16,69.0
2024-02-17,70.0
2024-02-18,54.0
2024-02-19,58.0
2024-02-20,57.0
2024-02-21,33.0
2024-02-22,62.0
2024-02-23,56.0
2024-02-24,73.0
2024-02-25,73.0
2024-02-26,55.0
2024-02-27,74.0
2024-02-28,66.0
2024-02-29,45.0
2024-03-01,52.0
2024-03-02,68.0
2024-03-03,80.0
2024-03-04,50.0
2024-03-05,44.0
2024-03-06,45.0
2024-03-07,50.0
2024-03-08,77.0
2024-03-09,60.0
2024-03-10,57.0
2024-03-11,59.0
2024-03-12,36.0
2024-03-13,53.0
2024-03-14,51.0
2024-03-15,74.0
2024-03-16,54.0
2024-03-17,62.0
2024-03-18,73.0
2024-03-19,58.0
2024-03-20,50.0
2024-03-21,45.0
2024-03-22,58.0
2024-03-23,89.0
2024-03-24,82.0
2024-03-25,63.0
2024-03-26,46.0
2024-03-27,48.0
2024-03-28,50.0
2024-03-29,80.0
2024-03-30,70.0
2024-03-31,51.0
2024-04-01,83.0
2024-04-02,60.0
2024-04-03,79.0
2024-04-04,73.0
2024-04-05,70.0
2024-04-06,75.0
2024-04-07,64.0
2024-04-08,82.0
2024-04-09,57.0
2024-04-10,41.0
2024-04-11,49.0
2024-04-12,62.0
2024-04-13,73.0
2024-04-14,60.0
2024-04-15,54.0
2024-04-16,76.0
2024-04-17,45.0
2024-04-18,49.0
2024-04-19,63.0
2024-04-20,69.0
2024-04-21,76.0
2024-04-22,56.0
2024-04-23,60.0
2024-04-24,38.0
2024-04-25,42.0
2024-04-26,50.0
2024-04-27,60.0
2024-04-28,45.0
2024-04-29,60.0
2024-04-30,68.0
2024-05-01,50.0
2024-05-02,31.0
2024-05-03,47.0
2024-05-04,62.0
2024-05-05,54.0
2024-05-06,29.0
2024-05-07,76.0
2024-05-08,81.0
2024-05-09,64.0
2024-05-10,54.0
2024-05-11,38.0
2024-05-12,60.0
2024-05-13,68.0
2024-05-14,50.0
2024-05-15,41.0
2024-05-16,48.0
2024-05-17,39.0
2024-05-18,43.0
2024-05-19,62.0
2024-05-20,34.0
2024-05-21,48.0
2024-05-22,50.0
2024-05-23,36.0
2024-05-24,54.0
2024-05-25,31.0
2024-05-26,42.0
2024-05-27,73.0
2024-05-28,60.0
2024-05-29,41.0
2024-05-30,61.0
2024-05-31,25.0
2024-06-01,70.0
2024-06-02,50.0
2024-06-03,24.0
2024-06-04,30.0
2024-06-05,62.0
2024-06-06,66.0
2024-06-07,1.0
2024-06-08,41.0
2024-06-09,62.0
2024-06-10,29.0
2024-06-11,77.0
2024-06-12,72.0
2024-06-13,71.0
2024-06-14,54.0
2024-06-15,44.0
2024-06-16,59.0
2024-06-17,53.0
2024-06-18,58.0
2024-06-19,50.0
2024-06-20,70.0
2024-06-21,73.0
2024-06-22,55.0
2024-06-23,53.0
2024-06-24,52.0
2024-06-25,31.0
2024-06-26,45.0
2024-06-27,62.0
2024-06-28,51.0
2024-06-29,68.0
2024-06-30,53.0
2024-07-01,76.0
2024-07-02,40.0
2024-07-03,52.0
2024-07-04,68.0
2024-07-05,71.0
2024-07-06,60.0
2024-07-07,41.0
2024-07-08,50.0
2024-07-09,77.0
2024-07-10,66.0
2024-07-11,56.0
2024-07-12,41.0
2024-07-13,50.0
2024-07-14,57.0
2024-07-15,61.0
2024-07-16,78.0
2024-07-17,28.0
2024-07-18,64.0
